com.example.kursova.macroobjects.Blackjack@74bb9d83
com.example.kursova.macroobjects.Poker@23d35afb
com.example.kursova.macroobjects.Roulette@6641d24f
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 80.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 85.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 90.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 95.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 100.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 100.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 105.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 110.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 115.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 120.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 125.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 130.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 135.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 140.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 145.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 150.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 155.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 160.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 165.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 170.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 175.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 180.0; Y: 290.0 }
Poor { name: name; money: 20000; Win rating: 0; lose rating: 0; X: 185.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 190.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 195.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 200.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 205.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 210.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 215.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 220.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 225.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 230.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 235.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 240.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 245.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 250.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 255.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 260.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 265.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 270.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 275.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 280.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 285.0; Y: 290.0 }
